br-1,10210.5987646
br-2,3925.65662892
br-3,21276.4288164
br-4,8747.05192151
br-5,8445.25550395
br-6,57268.7708335
br-7,10428.2175717
br-8,26684.8771717
br-9,6335.13805205
br-10,14624.0117266
br-11,6892.51096402
br-12,12954.0958633
br-13,17211.4448982
br-14,15266.3411438
br-15,8707.51070108
br-16,331283.933324
br-17,13454.2496121
br-18,4388.12505143
br-19,36871.8168413
br-20,20497.4592262
br-21,27576.5703663
br-22,18322.7523099
br-23,18373.4074655
br-24,16565.0202427
br-25,211028.216743
br-26,42680.4996161
br-27,7043.97202134
br-28,13482.8689308
br-29,16280.0565901
br-30,4193.8087585
br-31,6791.76407468
br-32,24407.150372
br-33,10797.1270281
br-34,9575.18926442
br-35,19226.012517
br-36,5299.72728491
br-37,48468.7301402
br-38,8207.30154729
br-39,16278.9674844
br-40,15542.3957875
br-41,7965.86909318
br-42,7195.03597677
br-43,10393.3828645
br-44,21775.9922061
br-45,5221.2209692
br-46,50448.43767
br-47,22229.7194773
br-48,45505.8627887
br-49,10347.782075
br-50,17264.4447525
br-51,17755.5536473
br-52,4041.06221533
br-53,11388.1699281
br-54,35615.8151799
br-55,14174.6154807
br-56,24059.1165342
br-57,22446.4866772
br-58,16720.9690117
br-59,5088.06382954
br-60,7047.26162279
br-61,7097.11158514
br-62,5296.65473223
br-63,19006.6587741
br-64,5441.17103672
br-65,23891.9281192
br-66,19194.608552
br-67,25799.1361308
br-68,936530.626021
br-69,17941.1935492
br-70,2972.70095909
br-71,27506.9347963
br-72,10093.7038853
br-73,43745.3198287
br-74,13092.7585373
br-75,23902.092232
br-76,27511.029402
br-77,14449.5240872
br-78,4860.73776174
br-79,6614.83283973
br-80,24731.448148
br-81,9474.47430348
br-82,19357.9002354
br-83,8083.70722103
br-84,4737.00827551
br-85,10492.890893
br-86,10458.7624972
br-87,22257.0381019
br-88,4646.31743169
br-89,68136.261498
br-90,10015.1044163
br-91,10700.8223352
br-92,11622.1179233
br-93,6363.28630161
br-94,57385.420193
br-95,16221.4094882
br-96,31579.314116
br-97,2036.81682634
br-98,22047.6747874
br-99,13056.2664534
br-100,21507.2236726
br-101,9105.9769299
br-102,18282.0342245
br-103,11184.8771068
br-104,69111.4262469
br-105,6198.38079667
br-106,6608.98494244
br-107,21874.9505515
br-108,29081.5716695
br-109,30825.7433059
br-110,61612.0199019
br-111,5725.10386086
br-112,29938.6975546
br-113,5938.66696644
br-114,42962.3108841
br-115,9754.21316147
br-116,13599.4298267
br-117,12722.1900425
br-118,6757.43362308
br-119,18328.7594419
br-120,38500.8466136
br-121,24402.0058893
br-122,59400.6190617
br-123,24717.4168944
br-124,7645.37653195
br-125,8578.22110293
br-126,4747.94444934
br-127,5632.94353803
br-128,4058.37163663
br-129,36492.6126393
br-130,390097.879899
br-131,16287.4966019
br-132,19294.4646915
br-133,10248.9427123
br-134,15910.9537322
br-135,3639.9744088
br-136,99572.5965002
br-137,4189.46392484
br-138,12008.3879113
br-139,11068.8153591
br-140,13432.6086538
br-141,8980.03218441
br-142,9844.69546704
br-143,15469.8581202
br-144,17189.9233176
br-145,14517.5193494
br-146,30637.3339847
br-147,24551.8075866
br-148,26313.4253651
br-149,31189.2449319
br-150,14918.7652233
br-151,14302.6853278
br-152,29917.9447598
br-153,33312.0459642
br-154,10552.9341752
br-155,12360.368262
br-156,24559.9042867
br-157,22685.4897475
br-158,31168.2958384
br-159,72776.7555516
br-160,22092.1089599
br-161,30078.4366834
br-162,24835.5570614
br-163,21674.1955574
br-164,31791.3778512
br-165,42734.2334684
br-166,22801.6284294
br-167,38617.9177607
br-168,84459.88746
br-169,7666.70819421
br-170,6881.06314956
br-171,10374.3583
br-172,17170.7601279
br-173,36043.6418321
br-174,82745.6706172
br-175,21650.0098406
br-176,44625.5189568
br-177,16718.2389883
br-178,1897242.29593
br-179,17577.4731569
br-180,28811.8525313
br-181,14214.1209896
br-182,20394.9616281
br-183,98874.3549051
br-184,17990.0247681
br-185,25950.738443
br-186,24478.0461423
br-187,35870.2524688
br-188,29943.52662
br-189,43500.5547415
br-190,17272.1873231
br-191,23006.021042
br-192,8071.85973686
br-193,10187.1816766
br-194,18480.863598
br-195,58825.0508791
br-196,16181.0399848
br-197,11360.7468037
br-198,16337.8626322
br-199,17070.461933
br-200,10236.8809811
br-201,13782.6405413
br-202,8533.51713777
br-203,16777.5955034
br-204,16207.1341064
br-205,14388.2302392
br-206,6164.84590387
br-207,136162.94646
br-208,20366.4232699
br-209,6059.64076006
br-210,19566.1105757
br-211,13587.2303196
br-212,31959.2577437
br-213,22946.5398329
br-214,13532.2354524
br-215,13574.6606954
br-216,13856.8085758
br-217,8765.82446504
br-218,10964.1112809
br-219,11063.8097217
br-220,19531.5605569
br-221,17028.7788005
br-222,8097.87978601
br-223,9594.83062387
br-224,13522.4067408
br-225,48654.9673388
br-226,11597.1549892
br-227,10569.9154683
br-228,944.466686249
br-229,6893.72858095
